 Parents' Occupation,Child's Nursery,Form of the family,Children,Housing condition,Finance standing,Social condition,Health condition,Final Evaluation
pretentious,critical,incomplete,1,convenient,inconv,slightly_prob,recommended,priority
great_pret,proper,incomplete,2,convenient,convenient,slightly_prob,not_recom,not_recom
pretentious,improper,complete,1,critical,inconv,nonprob,recommended,priority
great_pret,improper,incomplete,3,critical,convenient,nonprob,not_recom,not_recom
pretentious,proper,completed,1,critical,convenient,nonprob,priority,priority
great_pret,critical,incomplete,1,critical,inconv,slightly_prob,recommended,spec_prior
usual,improper,incomplete,2,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,critical,complete,2,convenient,convenient,nonprob,not_recom,not_recom
pretentious,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
usual,critical,incomplete,1,less_conv,convenient,problematic,recommended,priority
usual,very_crit,foster,1,critical,inconv,nonprob,recommended,spec_prior
great_pret,very_crit,incomplete,1,convenient,convenient,nonprob,priority,spec_prior
pretentious,less_proper,incomplete,1,less_conv,inconv,problematic,not_recom,not_recom
usual,critical,completed,1,less_conv,inconv,problematic,recommended,priority
great_pret,critical,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
pretentious,improper,completed,2,critical,inconv,slightly_prob,priority,spec_prior
usual,improper,incomplete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,critical,incomplete,2,convenient,convenient,slightly_prob,recommended,priority
pretentious,less_proper,completed,2,convenient,convenient,nonprob,priority,priority
pretentious,less_proper,completed,1,critical,convenient,nonprob,recommended,priority
usual,very_crit,foster,3,less_conv,inconv,nonprob,not_recom,not_recom
pretentious,very_crit,incomplete,more,convenient,inconv,problematic,recommended,spec_prior
pretentious,very_crit,incomplete,3,critical,convenient,problematic,not_recom,not_recom
pretentious,critical,foster,more,less_conv,inconv,slightly_prob,recommended,spec_prior
usual,improper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,proper,completed,more,critical,convenient,nonprob,not_recom,not_recom
great_pret,critical,foster,1,critical,convenient,problematic,priority,spec_prior
great_pret,less_proper,complete,more,less_conv,inconv,problematic,recommended,spec_prior
usual,improper,foster,more,less_conv,convenient,slightly_prob,not_recom,not_recom
great_pret,improper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recom
