,Parents' Occupation,Child's Nursery,Form of the family,Children,Housing condition,Finance standing,Social condition,Health condition,Final Evaluation
0,1,1,0,1,2,0,1,1,3
1,0,4,0,2,2,1,1,0,0
2,1,2,2,1,0,0,2,1,3
3,0,2,0,3,0,1,2,0,0
4,1,4,2,1,0,1,2,2,3
5,0,1,0,1,0,0,1,1,4
6,2,2,0,2,0,1,1,0,0
7,0,1,2,2,2,1,2,0,0
8,1,4,2,1,2,1,0,0,0
9,2,1,0,1,1,1,0,1,3
10,2,0,1,1,0,0,2,1,4
11,0,0,0,1,2,1,2,2,4
12,1,3,0,1,1,0,0,0,0
13,2,1,2,1,1,0,0,1,3
14,0,1,2,3,1,0,1,0,0
15,1,2,2,2,0,0,1,2,4
16,2,2,0,1,1,1,1,0,0
17,1,1,0,2,2,1,1,1,3
18,1,3,2,2,2,1,2,2,3
19,1,3,2,1,0,1,2,1,3
20,2,0,1,3,1,0,2,0,0
21,1,0,0,0,2,0,0,1,4
22,1,0,0,3,0,1,0,0,0
23,1,1,1,0,1,0,1,1,4
24,2,2,2,2,0,1,1,0,0
25,0,4,2,0,0,1,2,0,0
26,0,1,1,1,0,1,0,2,4
27,0,3,2,0,1,0,0,1,4
28,2,2,1,0,1,1,1,0,0
29,0,2,2,3,2,1,1,0,0
30,0,0,2,2,2,1,0,2,4
31,1,2,1,2,0,0,2,1,3
32,2,1,2,2,0,1,0,1,4
33,0,0,2,0,1,0,1,1,4
34,0,3,2,1,0,0,1,1,3
35,0,1,2,3,0,1,1,2,4
36,2,3,1,0,0,0,0,1,3
37,0,3,0,0,0,0,1,0,0
38,1,0,2,2,1,1,1,1,3
39,1,4,2,3,2,1,2,2,3
40,0,2,2,0,0,1,1,0,0
41,2,0,2,1,2,1,0,1,3
42,0,0,2,2,1,0,2,2,4
43,2,1,0,2,2,1,0,0,0
44,0,4,2,1,2,0,0,2,3
45,0,1,2,0,2,0,0,0,0
46,0,0,2,0,0,1,2,0,0
47,2,3,2,0,2,1,0,0,0
48,1,1,1,0,2,1,2,2,4
49,0,3,2,2,1,1,1,0,0
50,2,2,0,2,2,0,1,2,3
51,0,4,2,1,0,1,2,0,0
52,1,2,1,0,0,0,0,2,4
53,0,4,2,0,2,1,1,1,3
54,2,2,2,1,0,1,0,0,0
55,0,2,2,2,2,0,1,1,3
56,0,0,1,0,2,0,2,2,4
57,2,2,2,0,0,1,0,0,0
58,0,1,2,1,0,0,0,2,4
59,0,2,2,3,1,0,0,2,4
60,2,1,2,3,2,1,2,1,3
61,1,1,2,0,1,1,1,1,4
62,2,0,2,1,2,0,1,0,0
63,2,3,2,1,1,1,2,2,3
64,2,3,0,0,1,0,0,0,0
65,0,4,2,3,0,0,2,0,0
66,0,2,1,3,0,1,2,0,0
67,1,2,2,3,0,1,2,1,3
68,2,3,2,1,1,1,1,2,3
69,2,0,0,2,1,1,0,1,4
70,2,1,1,0,2,0,0,1,4
71,0,1,0,0,1,1,2,2,4
72,2,4,2,0,0,1,0,2,3
73,2,1,0,0,1,1,1,2,4
74,2,0,2,3,2,1,0,1,4
75,2,1,1,0,1,0,1,1,3
76,1,2,2,0,0,1,1,2,4
77,1,3,2,2,1,1,1,1,2
